ticker,cik,security_name,exchange,ETF,Test Issue,company_name,sec_exchange,biopharma_flag,biopharma_reason
CLRB,1279704,"Cellectar Biosciences, Inc. - Common Stock",NASDAQ,N,N,"Cellectar Biosciences, Inc.",Nasdaq,True,keyword_match
CLYM,1768446,"Climb Bio, Inc. - Common Stock",NASDAQ,N,N,"Climb Bio, Inc.",Nasdaq,True,keyword_match
CMPX,1738021,"Compass Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Compass Therapeutics, Inc.",Nasdaq,True,keyword_match
CNSP,1729427,"CNS Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"CNS Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
CNTB,1835268,Connect Biopharma Holdings Limited - Ordinary Shares,NASDAQ,N,N,Connect Biopharma Holdings Ltd,Nasdaq,True,keyword_match
CNTX,1842952,Context Therapeutics Inc. - Common Stock,NASDAQ,N,N,Context Therapeutics Inc.,Nasdaq,True,keyword_match
COCP,1412486,"Cocrystal Pharma, Inc. - Common Stock",NASDAQ,N,N,"Cocrystal Pharma, Inc.",Nasdaq,True,keyword_match
COEP,1759186,"Coeptis Therapeutics Holdings, Inc. - Common Stock",NASDAQ,N,N,"Coeptis Therapeutics Holdings, Inc.",Nasdaq,True,keyword_match
COGT,1622229,"Cogent Biosciences, Inc. - Common Stock",NASDAQ,N,N,"Cogent Biosciences, Inc.",Nasdaq,True,keyword_match
COLL,1267565,"Collegium Pharmaceutical, Inc. - Common Stock",NASDAQ,N,N,"COLLEGIUM PHARMACEUTICAL, INC",Nasdaq,True,keyword_match
CORT,1088856,Corcept Therapeutics Incorporated - Common Stock,NASDAQ,N,N,CORCEPT THERAPEUTICS INC,Nasdaq,True,keyword_match
COYA,1835022,"Coya Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Coya Therapeutics, Inc.",Nasdaq,True,keyword_match
CPHI,1106644,"China Pharma Holdings, Inc. Common Stock",A,N,N,"CHINA PHARMA HOLDINGS, INC.",NYSE,True,keyword_match
CPIX,1087294,Cumberland Pharmaceuticals Inc. - Common Stock,NASDAQ,N,N,CUMBERLAND PHARMACEUTICALS INC,Nasdaq,True,keyword_match
CPRX,1369568,"Catalyst Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"CATALYST PHARMACEUTICALS, INC.",Nasdaq,True,keyword_match
CRBP,1595097,"Corbus Pharmaceuticals Holdings, Inc. - Common Stock",NASDAQ,N,N,"Corbus Pharmaceuticals Holdings, Inc.",Nasdaq,True,keyword_match
CRBU,1619856,"Caribou Biosciences, Inc. - Common Stock",NASDAQ,N,N,"Caribou Biosciences, Inc.",Nasdaq,True,keyword_match
CRDF,1213037,"Cardiff Oncology, Inc. - Common Stock",NASDAQ,N,N,"Cardiff Oncology, Inc.",Nasdaq,True,keyword_match
